Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
195505331,Скоро конец света,Mikita Franko,"Franko, Mikita",Микита Франко,"=""5604836397""","=""9785604836392""",5,4.35,Popcorn Books,Paperback,240,2024,,2023/09/24,2023/09/16,,,read,"Книга очень классная, хотя местами очень грустная, как впрочем и все книги Микиты. <br/>Но чем она выделяется это самой крутой концовок из всех книг. <br/>Мне понравилась как закончилась как основная часть, так и эпилог. <br/>Вообще, когда один только эпилог (или даже последняя его страница) может вызвать столько эмоций - это показатель хорошей книги для меня. <br/><br/>Единственный минус для меня это наверно слишком умная 12-летняя Вика, с активной гражданской позицией. И я понимаю, что это скорее всего из-за её новой семьи, но кажется что 12 лет для таких речей это прям супер рано. Хотя, признаю, что могу ошибаться. ",,,1,0
59754583,"Us (Him, #2)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1954500505""","=""9781954500501""",4,4.27,Rennie Road Books,Paperback,320,2021,2016,2023/09/22,2023/09/20,,,read,,,,1,0
169011571,Last Dance at the Discotheque for Deviants,Paul David Gould,"Gould, Paul David",,"=""1800182201""","=""9781800182202""",5,4.41,Unbound,Paperback,369,2023,,2023/09/19,2023/07/07,,,read,"Murder mystery без сумасшедших поворотов.<br/>Очень хорошо передана атмосфера начала 90-х годов в России. Сеттинг чувствуется.<br/>Понравилось, что автор сделал с разными героями, как меняется стилистика текста в зависимости какой пов мы читаем. Отмечала для себя, что за Диму я читала текст с русским акцентом, за Джейми с британским. Костя был наивным и трепетным голосом в моей голове. А Тамара Борисовна типичной женщиной, выросшей под влиянием союза и партии.<br/><br/>Очень грустно, особенно под конец. Тут не было стопроцентно положительных героев (может Костя), но были живые люди и им я начала сочувствовать. <br/>Особенно грустно от того, что проблемы описанные в книге не решились (а ведь персонажам казалось, что еще чуть-чуть и будет свобода), а местами стало даже хуже. <br/>Тридцать лет спустя люди в России все еще сталкиваются с тем же, что герои книги… <br/><br/>Читала и ждала хэппи энда, а потом вспоминала где живу",,,1,0
62221702,"Tangled in Tinsel (The More the Merrier, #1)",Trilina Pucci,"Pucci, Trilina",,"=""""","=""""",0,3.89,Trilina Pucci Books,Kindle Edition,280,2022,2022,,2023/09/18,to-read,to-read (#54),to-read,,,,0,0
57552438,And They Lived . . .,Steven Salvatore,"Salvatore, Steven",,"=""1547608196""","=""9781547608195""",0,3.96,Bloomsbury YA,Hardcover,384,2022,2022,,2023/09/14,to-read,to-read (#53),to-read,,,,0,0
84943172,"The Right Move (Windy City, #2)",Liz Tomforde,"Tomforde, Liz",,"=""""","=""""",0,4.41,Golden Boy Publishing LLC,Kindle Edition,499,2023,2023,,2023/09/12,to-read,to-read (#52),to-read,,,,0,0
36550871,"Four Psychos (The Dark Side, #1)",Kristy Cunning,"Cunning, Kristy",,"=""""","=""""",0,4.11,C.M. Owens,Kindle Edition,173,2017,2017,,2023/09/12,to-read,to-read (#51),to-read,,,,0,0
144407710,"Free Me (WITSEC, #4)",Ashley N. Rostek,"Rostek, Ashley N.",,"=""""","=""""",0,4.12,,Kindle Edition,235,2023,2023,2023/09/10,2023/03/31,,,read,,,,1,0
50347526,"Дни нашей жизни (Дни нашей жизни, #1)",Mikita Franko,"Franko, Mikita",Микита Франко,"=""5449668988""","=""9785449668981""",5,4.21,Издательские решения,ebook,290,2019,2019,2023/05/09,2023/01/15,,,read,,,,1,0
25686927,"Him (Him, #1)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1942444079""","=""9781942444077""",5,4.23,Rennie Road Books,ebook,360,2015,2015,2023/09/07,2023/06/27,,,read,,,,1,0
